block_type	cat	stim	trial_type	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	time_start	time_fix	time_stimulus_show	time_response	time_extend_incorrect	time_log	sn	logger_sn	logger_time	participation_id	UserID	RunID	rel_time
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	0	0	28538.295	29187.48	30153.375	31152.315	NA	32151.365	NA	0	32151.7	6594322	115257	6594325	0
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	1	0	32154.19	32700.845	33283.7	34282.815	NA	35281.99	NA	1	35282.115	6594322	115257	6594326	3130.415
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	2	0	35284.485	36047.975	36947.13	37946.32	NA	38945.39	NA	2	38945.5	6594322	115257	6594327	6793.8
practice	practice	practice	go	1	846.825	32	keydown	go_down	NA	NA	NA	0	3	0	38946.795	39694.685	40327.525	41190.97	NA	41253.125	NA	3	41253.24	6594322	115257	6594327	9101.54
practice	practice	practice	go	1	470.575	32	keydown	go_down	NA	NA	NA	0	4	0	41254.42	42109.33	42908.855	43396.31	NA	43481.04	NA	4	43481.14	6594322	115257	6594328	11329.44
practice	practice	practice	go	1	452.15	32	keydown	go_down	NA	NA	NA	0	5	0	43482.47	44324.095	45156.53	45625.32	NA	45685.155	NA	5	45685.225	6594322	115257	6594328	13533.525
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	6	0	45686.42	46522.145	47354.59	48353.915	NA	49353.055	NA	6	49353.145	6594322	115257	6594329	17201.445
practice	practice	practice	go	1	385.955	32	keydown	go_down	NA	NA	NA	0	7	0	49354.89	50102.37	50618.56	51021.16	NA	51096.885	NA	7	51096.955	6594322	115257	6594330	18945.255
practice	practice	practice	nogo	1	null	NA	NA	NA	NA	NA	NA	0	8	0	51098.205	51867.47	52533.59	53532.665	NA	54531.845	NA	8	54531.945	6594322	115257	6594330	22380.245
practice	practice	practice	go	1	345.36	32	keydown	go_down	NA	NA	NA	0	9	0	54533.535	55098.05	55647.49	56009.465	NA	56065.245	NA	9	56065.33	6594322	115257	6594331	23913.63
train	test	nanjing_a_2_test	go	1	798.935	32	keydown	go_down	NA	NA	NA	1	0	0	68469.83	69418.84	70384.635	71311.785	NA	71378.75	NA	10	71378.815	6594322	115257	6594333	39227.115
train	test	nanjing_a_5_test	go	1	788.055	32	keydown	go_down	NA	NA	NA	1	1	0	71380.265	72016.575	72682.74	73581.65	NA	73646.84	NA	11	73646.925	6594322	115257	6594333	41495.225
train	control	hongshuangxi_p_2_control	go	1	956.945	32	keydown	go_down	NA	NA	NA	1	2	0	73648.59	74547.7	75346.745	76421.08	NA	76489.33	NA	12	76489.405	6594322	115257	6594334	44337.705
train	test	hongshuangxi_p_9_test	go	1	662.675	32	keydown	go_down	NA	NA	NA	1	3	0	76490.755	77361.88	77994.84	78766.225	NA	78825.71	NA	13	78825.795	6594322	115257	6594334	46674.095
train	control	zhonghua_a_5_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	4	0	78827.185	79410.11	80375.885	81474.915	NA	82474.05	NA	14	82474.135	6594322	115257	6594335	50322.435
train	test	hongshuangxi_p_9_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	5	0	82475.415	83273.31	84239.375	85238.305	NA	86237.495	NA	15	86237.58	6594322	115257	6594336	54085.88
train	control	liqun_a_3_control	go	1	527.735	32	keydown	go_down	NA	NA	NA	1	6	0	86238.71	87136.715	88052.5	88690.26	NA	88750.515	NA	16	88750.585	6594322	115257	6594337	56598.885
train	test	hongshuangxi_p_9_test	go	2	null	NA	NA	NA	NA	NA	NA	1	7	0	88752.455	89301.48	90284.405	91283.02	NA	92382.2	NA	17	92382.28	6594322	115257	6594338	60230.58
train	test	hongshuangxi_p_9_test	go	1	375.015	32	keydown	go_down	NA	NA	NA	1	7	1	92382.295	92948.24	93697.665	94089.36	NA	94165.215	NA	18	94165.3	6594322	115257	6594338	62013.6
train	control	nanjing_p_3_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	8	0	94166.515	94929.865	95828.645	96928.065	NA	97927.21	NA	19	97927.325	6594322	115257	6594339	65775.625
train	test	liqun_a_3_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	9	0	97928.68	98793.05	99675.755	100791.375	NA	101790.48	NA	20	101790.57	6594322	115257	6594340	69638.87
train	test	nobrand_p_8_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	10	0	101792.425	102439.885	102989.55	104088.575	NA	105087.645	NA	21	105087.73	6594322	115257	6594341	72936.03
train	control	hongshuangxi_p_9_control	go	1	716.275	32	keydown	go_down	NA	NA	NA	1	11	0	105089.045	105737.02	106619.705	107460.565	NA	107524.265	NA	22	107524.335	6594322	115257	6594342	75372.635
train	control	hongshuangxi_p_2_control	go	1	608.755	32	keydown	go_down	NA	NA	NA	1	12	0	107526.01	108484.73	109050.98	109676.42	NA	109725.085	NA	23	109725.19	6594322	115257	6594342	77573.49
train	test	nanjing_a_5_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	13	0	109726.475	110482.955	111249.135	112364.75	NA	113363.72	NA	24	113363.81	6594322	115257	6594343	81212.11
train	control	hongshuangxi_p_9_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	14	0	113365.035	113896.595	114512.765	115511.88	NA	116511.435	NA	25	116511.52	6594322	115257	6594344	84359.82
train	test	hongshuangxi_p_2_test	go	1	527.32	32	keydown	go_down	NA	NA	NA	1	15	0	116512.775	117193.965	118176.205	118807.455	NA	118900.63	NA	26	118900.71	6594322	115257	6594344	86749.01
train	test	nanjing_a_2_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	16	0	118902.12	119774.87	120574.14	121673.155	NA	122672.33	NA	27	122672.42	6594322	115257	6594345	90520.72
train	test	nobrand_a_1_test	nogo	2	473.67	32	keydown	go_down	NA	NA	NA	1	17	0	122674.15	123621.51	124254.26	124878.7	NA	125952.98	NA	28	125953.115	6594322	115257	6594346	93801.415
train	test	nobrand_a_1_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	17	1	125953.125	126601.42	127218.34	128217.52	NA	129216.57	NA	29	129216.655	6594322	115257	6594347	97064.955
train	test	nanjing_a_2_test	go	1	623.85	32	keydown	go_down	NA	NA	NA	1	18	0	129218.245	130032.51	130731.93	131372.465	NA	131448.655	NA	30	131448.735	6594322	115257	6594348	99297.035
train	control	zhonghua_a_5_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	19	0	131450.67	132463.755	133229.985	134228.88	NA	135228.045	NA	31	135228.125	6594322	115257	6594349	103076.425
train	test	zhonghua_a_5_test	go	2	null	NA	NA	NA	NA	NA	NA	1	20	0	135229.225	136177.21	136843.245	137942.335	NA	138958.03	NA	32	138958.12	6594322	115257	6594350	106806.42
train	test	zhonghua_a_5_test	go	2	null	NA	NA	NA	NA	NA	NA	1	20	1	138958.125	139624.21	140390.15	141389.35	NA	142405.06	NA	33	142405.145	6594322	115257	6594350	110253.445
train	test	zhonghua_a_5_test	go	1	418.975	32	keydown	go_down	NA	NA	NA	1	20	2	142405.15	143087.85	143987	144422.625	NA	144494.87	NA	34	144494.945	6594322	115257	6594351	112343.245
train	control	nobrand_p_8_control	go	1	782.935	32	keydown	go_down	NA	NA	NA	1	21	0	144496.43	145169.365	145768.395	146683.265	NA	146748.34	NA	35	146748.415	6594322	115257	6594351	114596.715
train	control	nobrand_p_8_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	22	0	146750.055	147633.88	148233.495	149232.435	NA	150231.565	NA	36	150231.65	6594322	115257	6594352	118079.95
train	test	nobrand_a_1_test	go	1	695.535	32	keydown	go_down	NA	NA	NA	1	23	0	150232.85	150980.835	151480.505	152192.675	NA	152246.855	NA	37	152246.98	6594322	115257	6594353	120095.28
train	control	liqun_a_3_control	go	1	586.8	32	keydown	go_down	NA	NA	NA	1	24	0	152248.14	153045.79	153745.185	154450.735	NA	154506.215	NA	38	154506.29	6594322	115257	6594353	122354.59
train	test	nanjing_a_5_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	25	0	154507.425	155110.675	156042.665	157042.34	NA	158041.41	NA	39	158041.5	6594322	115257	6594354	125889.8
train	control	zhonghua_p_8_control	go	1	481.175	32	keydown	go_down	NA	NA	NA	1	26	0	158042.85	158890.6	159590.06	160181.245	NA	160261.83	NA	40	160261.9	6594322	115257	6594355	128110.2
train	test	nanjing_a_2_test	nogo	2	440.67	32	keydown	go_down	NA	NA	NA	1	27	0	160263.455	160872.325	161504.75	161962.08	NA	162970.485	NA	41	162970.57	6594322	115257	6594356	130818.87
train	test	nanjing_a_2_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	27	1	162970.58	163836.25	164702.48	165701.395	NA	166700.525	NA	42	166700.61	6594322	115257	6594356	134548.91
train	control	hongshuangxi_p_2_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	28	0	166701.795	167699.595	168232.505	169231.625	NA	170230.775	NA	43	170230.86	6594322	115257	6594357	138079.16
train	test	hongshuangxi_p_2_test	go	1	506.58	32	keydown	go_down	NA	NA	NA	1	29	0	170232.05	170730.3	171463.01	171986.24	NA	172050	NA	44	172050.07	6594322	115257	6594358	139898.37
train	test	nanjing_a_5_test	go	1	674.65	32	keydown	go_down	NA	NA	NA	1	30	0	172051.585	172745.245	173378.03	174069.33	NA	174135.755	NA	45	174135.825	6594322	115257	6594358	141984.125
train	test	zhonghua_a_5_test	go	1	516.515	32	keydown	go_down	NA	NA	NA	1	31	0	174136.905	175143.195	175809.09	176342.56	NA	176403.45	NA	46	176403.53	6594322	115257	6594359	144251.83
train	control	hongshuangxi_p_9_control	go	1	565.02	32	keydown	go_down	NA	NA	NA	1	32	0	176405.66	177108.12	177674.265	178353.19	NA	178416.615	NA	47	178416.7	6594322	115257	6594359	146265
train	control	nanjing_a_2_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	33	0	178417.995	179039.815	179705.885	180804.85	NA	181804.055	NA	48	181804.185	6594322	115257	6594360	149652.485
train	control	nanjing_a_5_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	34	0	181805.405	182619.91	183485.985	184601.52	NA	185600.655	NA	49	185600.735	6594322	115257	6594361	153449.035
train	test	nanjing_p_3_test	go	1	530.62	32	keydown	go_down	NA	NA	NA	1	35	0	185601.91	186250.055	187099.41	187758.19	NA	187809.58	NA	50	187809.65	6594322	115257	6594362	155657.95
train	test	nanjing_a_5_test	nogo	1	null	NA	NA	NA	NA	NA	NA	1	36	0	187810.825	188348.33	188930.675	189930.29	NA	190929.32	NA	51	190929.41	6594322	115257	6594362	158777.71
train	test	nanjing_p_3_test	go	1	493.695	32	keydown	go_down	NA	NA	NA	1	37	0	190930.73	191745.25	192428.115	192938.4	NA	193001.065	NA	52	193001.14	6594322	115257	6594363	160849.44
train	control	hongshuangxi_p_2_control	nogo	1	null	NA	NA	NA	NA	NA	NA	1	38	0	193003.14	193810.195	194326.74	195325.53	NA	196324.64	NA	53	196324.72	6594322	115257	6594364	164173.02
