name	phase	time	value	logger_sn	logger_time	participation_id	UserID	RunID	rel_time
init	start	15911.34	{"screen.width":1366,"screen.height":768,"avail.width":1366,"avail.height":728,"window.width":1366,"window.height":643}	0	15911.66	6593390	115257	6593391	0
fullscreenchange	start	16789.995	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728,"screenfull.isFullscreen":true}	1	16790.095	6593390	115257	6593391	878.435000000001
resize	start	16816.97	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728}	2	16816.995	6593390	115257	6593391	905.334999999999
fullscreenchange	end	16789.995	[]	3	17912.2	6593390	115257	6593391	2000.54
resize	end	16816.97	[]	4	17912.31	6593390	115257	6593391	2000.65
fullscreenchange	start	198651.755	{"window.width":1366,"window.height":643,"avail.width":1366,"avail.height":728,"screenfull.isFullscreen":false}	5	198651.91	6593390	115257	6593433	182740.25
resize	start	198656.125	{"window.width":1366,"window.height":643,"avail.width":1366,"avail.height":728}	6	198656.485	6593390	115257	6593433	182744.825
fullscreenchange	end	198651.755	[]	7	199926.97	6593390	115257	6593433	184015.31
resize	end	198656.125	[]	8	199927.21	6593390	115257	6593433	184015.55
focusout	start	200766	[]	9	200766.08	6593390	115257	6593433	184854.42
init	start	6535.835	{"screen.width":1366,"screen.height":768,"avail.width":1366,"avail.height":728,"window.width":1366,"window.height":643}	0	6536.145	6594159	115257	6594160	0
fullscreenchange	start	9086.945	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728,"screenfull.isFullscreen":true}	1	9087.065	6594159	115257	6594160	2550.92
resize	start	9088.08	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728}	2	9088.095	6594159	115257	6594160	2551.95
fullscreenchange	end	9086.945	[]	3	10536.77	6594159	115257	6594160	4000.625
resize	end	9088.08	[]	4	10536.945	6594159	115257	6594160	4000.8
focusout	end	8246.42	[]	10	9826.755	6594251	115257	6594253	0
beforeunload	start	12464.475	[]	11	12464.48	6594251	115257	6594253	2637.725
init	start	12604.31	{"screen.width":1366,"screen.height":768,"avail.width":1366,"avail.height":728,"window.width":1366,"window.height":643}	0	12604.645	6594254	115257	6594255	0
fullscreenchange	start	14191.89	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728,"screenfull.isFullscreen":true}	1	14191.975	6594254	115257	6594255	1587.33
resize	start	14194.375	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728}	2	14194.4	6594254	115257	6594255	1589.755
fullscreenchange	end	14191.89	[]	3	15605.285	6594254	115257	6594255	3000.64
resize	end	14194.375	[]	4	15605.385	6594254	115257	6594255	3000.74
fullscreenchange	start	266767.24	{"window.width":1366,"window.height":643,"avail.width":1366,"avail.height":728,"screenfull.isFullscreen":false}	5	266767.25	6594254	115257	6594318	254162.605
resize	start	266781.055	{"window.width":1366,"window.height":643,"avail.width":1366,"avail.height":728}	6	266781.125	6594254	115257	6594318	254176.48
focusout	start	268649.665	[]	7	268649.67	6594254	115257	6594318	256045.025
fullscreenchange	end	266767.24	[]	8	268663.605	6594254	115257	6594318	256058.96
resize	end	266781.055	[]	9	268663.685	6594254	115257	6594318	256059.04
focusout	end	268649.665	[]	10	269663.8	6594254	115257	6594318	257059.155
init	start	11627.88	{"screen.width":1366,"screen.height":768,"avail.width":1366,"avail.height":728,"window.width":1366,"window.height":643}	0	11628.255	6594322	115257	6594323	0
focusin	start	22033.79	[]	1	22033.845	6594322	115257	6594323	10405.59
fullscreenchange	start	22893.49	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728,"screenfull.isFullscreen":true}	2	22893.54	6594322	115257	6594323	11265.285
resize	start	22915.35	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728}	3	22915.39	6594322	115257	6594323	11287.135
focusin	end	22033.79	[]	4	23052.055	6594322	115257	6594323	11423.8
fullscreenchange	end	22893.49	[]	5	24052.295	6594322	115257	6594323	12424.04
resize	end	22915.35	[]	6	24052.385	6594322	115257	6594323	12424.13
init	start	19078.58	{"screen.width":1366,"screen.height":768,"avail.width":1366,"avail.height":728,"window.width":1366,"window.height":643}	0	19079.02	6594467	115257	6594468	0
fullscreenchange	start	22211.79	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728,"screenfull.isFullscreen":true}	1	22211.845	6594467	115257	6594468	3132.825
resize	start	22220.33	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728}	2	22220.385	6594467	115257	6594468	3141.365
fullscreenchange	end	22211.79	[]	3	24079.815	6594467	115257	6594468	5000.795
resize	end	22220.33	[]	4	24079.915	6594467	115257	6594468	5000.895
beforeunload	start	578134.805	[]	5	578134.865	6594467	115257	6594607	559055.845
init	start	14180.345	{"screen.width":1366,"screen.height":768,"avail.width":1366,"avail.height":728,"window.width":1366,"window.height":643}	0	14180.77	6594614	115257	6594615	0
fullscreenchange	start	67942.63	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728,"screenfull.isFullscreen":true}	1	67942.68	6594614	115257	6594615	53761.91
resize	start	67989.775	{"window.width":1366,"window.height":768,"avail.width":1366,"avail.height":728}	2	67989.805	6594614	115257	6594615	53809.035
