set	slide	delay	phase	response	rt	modality	id	time_start	time_buttons	time_response	logger_sn	logger_time	participation_id	UserID	RunID	rel_time
noname	0	0	up	up	75.22	mouseup	all	16827.42	16827.525	16916.075	0	16916.23	6593390	115257	6593391	0
noname	1	0	down	next	1385.82	keydown	39	16916.25	16916.26	18333.005	1	18333.125	6593390	115257	6593391	1416.895
noname	1	0	up	up	47.47	keyup	39	16916.25	16916.26	18410.75	2	18410.77	6593390	115257	6593391	1494.54
noname	2	0	down	next	327.445	keydown	39	18410.775	18410.775	18756.525	3	18756.555	6593390	115257	6593391	1840.325
noname	2	0	up	up	50.125	keyup	39	18410.775	18410.775	18828.925	4	18828.93	6593390	115257	6593391	1912.7
noname	3	0	down	next	329.3	keydown	39	18828.935	18828.935	19191.205	5	19191.21	6593390	115257	6593391	2274.98
noname	3	0	up	up	47.08	keyup	39	18828.935	18828.935	19258.88	6	19258.885	6593390	115257	6593391	2342.655
noname	4	0	down	next	388.96	keydown	39	19258.89	19258.89	19667.265	7	19667.275	6593390	115257	6593391	2751.045
noname	4	0	up	up	35.645	keyup	39	19258.89	19258.89	19730.275	8	19730.28	6593390	115257	6593391	2814.05
noname	5	0	down	next	414.03	keydown	39	19730.285	19730.285	20175.25	9	20175.255	6593390	115257	6593391	3259.025
noname	5	0	up	up	55.265	keyup	39	19730.285	19730.285	20249.61	10	20249.625	6593390	115257	6593391	3333.395
noname	6	0	down	next	435.645	keydown	39	20249.635	20249.635	20713.115	11	20713.125	6593390	115257	6593391	3796.895
noname	6	0	up	up	37.535	keyup	39	20249.635	20249.635	20781.135	12	20781.14	6593390	115257	6593391	3864.91
noname	1	0	down	next	15402.795	keydown	39	62127.23	62127.235	77543.845	13	77544.02	6593390	115257	6593403	60627.79
noname	1	0	up	up	19.68	keyup	39	62127.23	62127.235	77580.63	14	77580.655	6593390	115257	6593403	60664.425
noname	2	0	down	next	667.65	keydown	39	77580.76	77580.76	78277.845	15	78277.925	6593390	115257	6593403	61361.695
noname	2	0	up	up	32.795	keyup	39	77580.76	77580.76	78343.16	16	78343.17	6593390	115257	6593403	61426.94
noname	0	0	up	up	2111.875	keyup	27	196626.63	196626.635	198752.82	17	198752.83	6593390	115257	6593433	181836.6
noname	0	0	up	up	16.535	mouseup	all	9122.51	9122.595	9163.095	0	9163.275	6594159	115257	6594160	0
noname	1	0	down	next	2673.81	keydown	39	9163.3	9163.31	11867.67	1	11867.805	6594159	115257	6594160	2704.53
noname	1	0	up	up	66.015	keyup	39	9163.3	9163.31	11959.195	2	11959.22	6594159	115257	6594160	2795.945
noname	2	0	down	next	2744.43	keydown	39	11959.22	11959.22	14735.725	3	14735.745	6594159	115257	6594161	5572.47
noname	2	0	up	up	53.13	keyup	39	11959.22	11959.22	14808.61	4	14808.615	6594159	115257	6594161	5645.34
noname	3	0	down	next	2470.38	keydown	39	14808.62	14808.62	17308.065	5	17308.075	6594159	115257	6594162	8144.8
noname	3	0	up	up	33.675	keyup	39	14808.62	14808.62	17370.205	6	17370.215	6594159	115257	6594162	8206.94
noname	4	0	down	next	6189.045	keydown	39	17370.22	17370.22	23592.01	7	23592.02	6594159	115257	6594163	14428.745
noname	4	0	up	up	63.63	keyup	39	17370.22	17370.22	23677.63	8	23677.635	6594159	115257	6594163	14514.36
noname	5	0	down	next	1035.685	keydown	39	23677.64	23677.64	24730.865	9	24730.875	6594159	115257	6594163	15567.6
noname	5	0	up	up	49.665	keyup	39	23677.64	23677.64	24813.46	10	24813.465	6594159	115257	6594163	15650.19
noname	6	0	down	next	786.23	keydown	39	24813.47	24813.47	25632.695	11	25632.705	6594159	115257	6594164	16469.43
noname	6	0	up	up	44.965	keyup	39	24813.47	24813.47	25707.575	12	25707.58	6594159	115257	6594164	16544.305
noname	1	0	down	next	8489.795	keydown	39	70360.215	70360.225	78863.765	13	78863.905	6594159	115257	6594176	69700.63
noname	1	0	up	up	77.905	keyup	39	70360.215	70360.225	78960.2	14	78960.225	6594159	115257	6594176	69796.95
noname	2	0	down	next	719.805	keydown	39	78960.31	78960.315	79702.54	15	79702.63	6594159	115257	6594176	70539.355
noname	2	0	up	up	35.6	keyup	39	78960.31	78960.315	79767.83	16	79767.845	6594159	115257	6594176	70604.57
noname	1	0	down	next	23405.495	keydown	39	197431.55	197431.55	220851.57	17	220851.665	6594159	115257	6594207	211688.39
noname	1	0	up	up	48.465	keyup	39	197431.55	197431.55	220923.935	18	220923.955	6594159	115257	6594207	211760.68
noname	2	0	down	next	648.5	keydown	39	220924.055	220924.055	221590.655	19	221590.825	6594159	115257	6594208	212427.55
noname	2	0	up	up	65.38	keyup	39	220924.055	220924.055	221673.565	20	221673.59	6594159	115257	6594208	212510.315
noname	1	0	down	next	2748.705	keydown	39	264739.67	264739.67	267502.525	21	267502.6	6594159	115257	6594219	258339.325
noname	1	0	up	up	46.195	keyup	39	264739.67	264739.67	267581.065	22	267581.085	6594159	115257	6594219	258417.81
noname	2	0	down	next	575.33	keydown	39	267581.185	267581.185	268176.61	23	268176.695	6594159	115257	6594219	259013.42
noname	2	0	up	up	55.415	keyup	39	267581.185	267581.185	268256.315	24	268256.335	6594159	115257	6594219	259093.06
noname	1	0	down	next	1417.505	keydown	40	14209.37	14209.505	15653.875	0	15654.11	6594254	115257	6594255	0
noname	1	0	up	up	58.765	keyup	40	14209.37	14209.505	15733.97	1	15734.01	6594254	115257	6594255	79.8999999999996
noname	2	0	down	next	467.275	keydown	40	15734.015	15734.025	16225.63	2	16225.65	6594254	115257	6594255	571.539999999999
noname	2	0	up	up	37.33	keyup	40	15734.015	15734.025	16295.415	3	16295.425	6594254	115257	6594255	641.314999999999
noname	3	0	down	next	392.3	keydown	40	16295.43	16295.43	16716.82	4	16716.83	6594254	115257	6594255	1062.72
noname	3	0	up	up	11.275	keyup	40	16295.43	16295.43	16752.085	5	16752.09	6594254	115257	6594255	1097.98
noname	4	0	down	next	412.42	keydown	40	16752.095	16752.095	17187.115	6	17187.125	6594254	115257	6594255	1533.015
noname	4	0	up	up	31.9	keyup	40	16752.095	16752.095	17238.99	7	17238.995	6594254	115257	6594255	1584.885
noname	5	0	down	next	379.895	keydown	40	17238.995	17238.995	17637.13	8	17637.14	6594254	115257	6594255	1983.03
noname	5	0	up	up	41.75	keyup	40	17238.995	17238.995	17698.39	9	17698.395	6594254	115257	6594255	2044.285
noname	1	0	down	next	1239.225	keydown	40	45886.595	45886.6	47154.5	10	47154.54	6594254	115257	6594263	31500.43
noname	1	0	up	up	43.22	keyup	40	45886.595	45886.6	47224.375	11	47224.405	6594254	115257	6594263	31570.295
noname	2	0	down	next	537.015	keydown	40	47224.405	47224.41	47784.64	12	47784.65	6594254	115257	6594263	32130.54
noname	2	0	up	up	53.655	keyup	40	47224.405	47224.41	47867.29	13	47867.295	6594254	115257	6594263	32213.185
noname	1	0	down	next	1409.86	keydown	40	258180.87	258180.88	259623.59	14	259623.6	6594254	115257	6594316	243969.49
