t1_left	a1_left	type	cat	stim	response	rt	id	modality	label	fb_response	fb_rt	fb_id	block	trial	attempt	retry	time_start	time_stimulus	time_response	time_log	sn	UserID	RunID
TRUE	FALSE	tar1att1	ndri	yabs_4	1	1402.0787558195	37	keydown	left_down	NA	NA	NA	6	8	0	FALSE	377542.77394194	377793.04401816	379214.86019871	379410.28133464	138	52312	2468491
TRUE	FALSE	tar1att1	nsel	yoth_3	1	1144.7980120378	37	keydown	left_down	NA	NA	NA	6	9	0	FALSE	379411.35346811	379675.81110169	380839.94760507	381008.69349317	139	52312	2468491
TRUE	FALSE	tar1att1	ydri	ydri_4	1	1287.4367412618	39	keydown	right_down	NA	NA	NA	6	10	0	FALSE	381009.99100444	381258.79588048	382566.10351316	382750.34571433	140	52312	2468491
TRUE	FALSE	tar1att1	ydri	ydri_1	1	2073.568721603	#button_right	mousedown	right_down	NA	NA	NA	6	2	0	FALSE	628713.67986478	628965.58757226	631057.52989703	631199.83069058	143	52299	2468492
TRUE	FALSE	tar1att1	ysel	ysel_4	1	736.54731118656	#button_right	mousedown	right_down	NA	NA	NA	6	3	0	FALSE	631200.61360297	631462.16833479	632217.05065776	632326.84683368	144	52299	2468492
TRUE	FALSE	tar1att1	ydri	ydri_4	2	855.79139633884	#button_left	mousedown	left_down	NA	NA	NA	6	4	0	TRUE	632327.79355417	632577.20267496	633451.53312475	633608.29706496	145	52299	2468492
FALSE	FALSE	tar1att1	ysel	ysel_2	1	523	39	keydown	right_down	NA	NA	NA	3	15	0	FALSE	196035	196298.995	196838.995	197014.995	68	52320	2468494
FALSE	FALSE	tar1att1	ndri	yabs_1	1	721	37	keydown	left_down	NA	NA	NA	3	16	0	FALSE	197016	197266	198004	198146	69	52320	2468494
FALSE	FALSE	tar1att1	ysel	ysel_3	1	824	39	keydown	right_down	NA	NA	NA	3	17	0	FALSE	198146	198399	199240	199414	70	52320	2468494
FALSE	FALSE	tar1att1	ndri	yabs_2	1	523	37	keydown	left_down	NA	NA	NA	3	18	0	FALSE	199414	199673.995	200222	200396	71	52320	2468494
TRUE	TRUE	tar_discr	ndri	yabs_4	1	959.235	39	keydown	right_down	NA	NA	NA	0	7	0	FALSE	95553.115	95804.015	96779.97	96905.76	7	52324	2468495
TRUE	TRUE	tar_discr	ydri	ydri_2	1	741.61500000001	37	keydown	left_down	NA	NA	NA	0	8	0	FALSE	96905.91	97170.615	97928.96	98026.835	8	52324	2468495
TRUE	TRUE	tar_discr	ydri	ydri_2	1	717.855	37	keydown	left_down	NA	NA	NA	0	9	0	FALSE	98026.975	98287.06	99021.64	99107.28	9	52324	2468495
FALSE	FALSE	tar1att2	ydri	ydri_2	1	1120.0809229646	37	keydown	left_down	NA	NA	NA	6	44	0	FALSE	818291.97505642	818554.66995533	819703.39668733	819887.74954927	212	52288	2468497
FALSE	FALSE	tar1att2	ysel	ysel_4	1	1132.2361592314	39	keydown	right_down	NA	NA	NA	6	45	0	FALSE	819888.94921419	820144.53816632	821305.40956212	821435.548018	213	52288	2468497
FALSE	FALSE	tar1att2	ndri	yabs_3	1	812.37340239028	39	keydown	right_down	NA	NA	NA	6	46	0	FALSE	821436.73337898	821688.73639649	822530.57715139	822681.32882324	214	52288	2468497
TRUE	FALSE	tar1att2	ysel	ysel_3	1	690	39	keydown	right_down	right_down	12147.005	39	2	1	1	FALSE	189862	206432	207139.995	207294	34	52319	2468498
TRUE	FALSE	tar1att2	ndri	yabs_3	1	1087.995	39	keydown	right_down	NA	NA	NA	2	2	0	FALSE	207294.995	207548	208654.995	208794.995	35	52319	2468498
TRUE	TRUE	tar1att2	ndri	yabs_1	1	925.995	37	keydown	left_down	NA	NA	NA	6	40	0	FALSE	793496.995	793753	794695.995	794806	186	52289	2468499
TRUE	TRUE	tar1att2	ysel	ysel_3	1	647	37	keydown	left_down	NA	NA	NA	6	41	0	FALSE	794807	795069.995	795733	795846.995	187	52289	2468499
TRUE	TRUE	tar1att2	ydri	ydri_4	1	644.995	39	keydown	right_down	NA	NA	NA	6	42	0	FALSE	795847.995	796103	796764.995	796949	188	52289	2468499
TRUE	TRUE	tar1att2	nsel	yoth_4	1	681	39	keydown	right_down	NA	NA	NA	6	43	0	FALSE	796950	797202.995	797900.995	798055	189	52289	2468499
TRUE	FALSE	tar1att1	nsel	yoth_1	1	928.24465120566	37	keydown	left_down	NA	NA	NA	6	11	0	FALSE	382751.45451447	383008.46734711	383955.8138674	384144.79095807	141	52312	2468503
TRUE	FALSE	tar1att1	ndri	yabs_2	1	1311.8650554749	37	keydown	left_down	NA	NA	NA	6	12	0	FALSE	384145.92566932	384407.87676925	385739.340405	385921.01251695	142	52312	2468503
TRUE	FALSE	tar1att1	ydri	ydri_4	1	1414.8113723055	#button_right	mousedown	right_down	NA	NA	NA	6	4	1	FALSE	632327.79355417	633608.38697467	635041.24228121	635184.82644347	146	52299	2468504
TRUE	FALSE	tar1att1	ysel	ysel_1	1	1132.56016458	#button_right	mousedown	right_down	NA	NA	NA	6	5	0	FALSE	635185.63029374	635440.01565004	636590.98020878	636724.26170376	147	52299	2468504
TRUE	FALSE	tar1att1	ndri	yabs_4	2	1545.6332825214	#button_right	mousedown	right_down	NA	NA	NA	6	6	0	TRUE	636725.04954271	636987.93321392	638551.89576057	638674.07443292	148	52299	2468504
FALSE	FALSE	tar1att1	nsel	yoth_3	1	663	37	keydown	left_down	NA	NA	NA	3	19	0	FALSE	200396	200649	201329	201469	72	52320	2468506
FALSE	FALSE	tar1att1	ndri	yabs_2	1	589.995	37	keydown	left_down	NA	NA	NA	3	20	0	FALSE	201469	201733	202338.995	202478	73	52320	2468506
FALSE	FALSE	tar1att1	ysel	ysel_2	1	606	39	keydown	right_down	NA	NA	NA	3	21	0	FALSE	202478	202732	203355	203529	74	52320	2468506
FALSE	FALSE	tar1att1	ydri	ydri_3	1	734.005	39	keydown	right_down	NA	NA	NA	3	22	0	FALSE	203529	203781.995	204550	204724	75	52320	2468506
TRUE	TRUE	tar_discr	ydri	ydri_4	1	712.69499999999	37	keydown	left_down	NA	NA	NA	0	10	0	FALSE	99107.465	99370.79	100099.615	100199.805	10	52324	2468507
TRUE	TRUE	tar_discr	ydri	ydri_3	1	731.705	37	keydown	left_down	NA	NA	NA	0	11	0	FALSE	100199.945	100453.4	101201.765	101287.335	11	52324	2468507
TRUE	TRUE	tar_discr	ndri	yabs_1	1	695.55	39	keydown	right_down	NA	NA	NA	0	12	0	FALSE	101287.575	101553.265	102265.48	102367.205	12	52324	2468507
TRUE	TRUE	tar_discr	ydri	ydri_4	1	782.39999999999	37	keydown	left_down	NA	NA	NA	0	13	0	FALSE	102367.35	102619.88	103418.96	103511.815	13	52324	2468507
FALSE	FALSE	tar1att2	ysel	ysel_4	1	801.90851824277	39	keydown	right_down	NA	NA	NA	6	47	0	FALSE	822682.53408535	822948.76889752	823779.06451013	823913.78271326	215	52288	2468510
TRUE	TRUE	tar1att2	ydri	ydri_1	1	898	39	keydown	right_down	NA	NA	NA	6	44	0	FALSE	798056	798319.995	799234	799393	190	52289	2468511
TRUE	TRUE	tar1att2	nsel	yoth_2	1	593	39	keydown	right_down	NA	NA	NA	6	45	0	FALSE	799393	799653	800263	800416.995	191	52289	2468511
TRUE	TRUE	tar1att2	ydri	ydri_4	1	833.005	39	keydown	right_down	NA	NA	NA	6	46	0	FALSE	800417.995	800670	801519	801657.995	192	52289	2468511
TRUE	FALSE	tar1att2	ysel	ysel_4	1	1307	39	keydown	right_down	NA	NA	NA	2	3	0	FALSE	208796	209048	210372	210487.995	36	52319	2468512
TRUE	FALSE	tar1att2	ydri	ydri_3	1	937	37	keydown	left_down	NA	NA	NA	2	4	0	FALSE	210489	210741.995	211699	211800	37	52319	2468512
TRUE	FALSE	tar1att2	ysel	ysel_2	1	1403.995	39	keydown	right_down	NA	NA	NA	2	5	0	FALSE	211800.995	212065	213485.995	213696	38	52319	2468512
TRUE	FALSE	tar1att1	ysel	ysel_4	1	1244.7137136144	39	keydown	right_down	NA	NA	NA	6	13	0	FALSE	385922.19807266	386174.36797135	387438.92910971	387633.67508999	143	52312	2468516
TRUE	FALSE	tar1att1	ndri	yabs_2	2	888.0961127741	39	keydown	right_down	NA	NA	NA	6	14	0	TRUE	387634.84060125	387890.20832257	388798.17483786	388998.58166331	144	52312	2468516
TRUE	FALSE	tar1att1	ndri	yabs_2	1	499.55504121335	37	keydown	left_down	NA	NA	NA	6	14	1	FALSE	387634.84060125	388998.75961889	389524.39150786	389702.74553051	145	52312	2468516
TRUE	FALSE	tar1att1	ndri	yabs_4	1	1144.8470036461	#button_left	mousedown	left_down	NA	NA	NA	6	6	1	FALSE	636725.04954271	638674.20621839	639847.96391459	640003.29053111	149	52299	2468517
TRUE	FALSE	tar1att1	ysel	ysel_2	1	941.55212074018	#button_right	mousedown	right_down	NA	NA	NA	6	7	0	FALSE	640004.10669778	640267.35165001	641226.57698139	641369.94150121	150	52299	2468517
FALSE	FALSE	tar1att1	nsel	yoth_4	1	562	37	keydown	left_down	NA	NA	NA	3	23	0	FALSE	204724	204969	205561	205700	76	52320	2468518
FALSE	FALSE	tar1att1	ydri	ydri_4	1	941.995	39	keydown	right_down	NA	NA	NA	3	24	0	FALSE	205700	205966	206923.995	207029	77	52320	2468518
FALSE	FALSE	tar1att1	nsel	yoth_4	1	564.005	37	keydown	left_down	NA	NA	NA	3	25	0	FALSE	207029	207281.995	207863	208002	78	52320	2468518
TRUE	TRUE	tar_discr	ydri	ydri_1	1	796.07000000001	37	keydown	left_down	NA	NA	NA	0	14	0	FALSE	103511.96	103769.935	104582.635	104687.645	14	52324	2468519
TRUE	TRUE	tar_discr	ndri	yabs_3	1	776.955	39	keydown	right_down	NA	NA	NA	0	15	0	FALSE	104687.785	104952.825	105746.445	105872.665	15	52324	2468519
TRUE	FALSE	tar1att2	ydri	ydri_1	1	1229	37	keydown	left_down	NA	NA	NA	2	6	0	FALSE	213697	213980.995	215228	215351	39	52319	2468523
