from_seq	to_seq	event	block	trial	reps	appr	stim	tilt	image	cat	response	rt	set_id	sust	type	placebo	approach_tilt
12	13	trial	0	0	1	no	practice_test	right	practice_test_right	test	1	1244	168	FALSE	practice	TRUE	left
17	18	trial	0	1	0	no	practice_test	right	practice_test_right	test	1	1032	168	TRUE	practice	TRUE	left
21	22	trial	0	2	0	yes	practice_control	left	practice_control_left	control	1	661	168	TRUE	practice	TRUE	left
25	26	trial	0	3	1	yes	practice_control	left	practice_control_left	control	1	799	168	TRUE	practice	TRUE	left
29	30	trial	0	4	1	yes	practice_test	left	practice_test_left	test	1	773	168	TRUE	practice	TRUE	left
33	34	trial	0	5	2	yes	practice_control	left	practice_control_left	control	1	568	168	TRUE	practice	TRUE	left
37	38	trial	0	6	0	no	practice_control	right	practice_control_right	control	1	452	168	TRUE	practice	TRUE	left
41	42	trial	0	7	2	no	practice_control	right	practice_control_right	control	1	488	168	TRUE	practice	TRUE	left
45	46	trial	0	8	2	no	practice_test	right	practice_test_right	test	1	478	168	TRUE	practice	TRUE	left
49	50	trial	0	9	2	yes	practice_test	left	practice_test_left	test	2	492	168	FALSE	practice	TRUE	left
56	57	trial	0	10	1	no	practice_control	right	practice_control_right	control	1	806	168	TRUE	practice	TRUE	left
60	61	trial	0	11	0	yes	practice_test	left	practice_test_left	test	1	387	168	TRUE	practice	TRUE	left
68	69	trial	1	0	1	no	p35_test	right	p35_test_right	test	1	1143	168	TRUE	assess	TRUE	left
72	73	trial	1	1	0	no	p15_control	right	p15_control_right	control	1	796	168	TRUE	assess	TRUE	left
76	77	trial	1	2	0	no	a40_test	right	a40_test_right	test	1	582	168	TRUE	assess	TRUE	left
80	81	trial	1	3	1	no	p22_test	right	p22_test_right	test	1	614	168	TRUE	assess	TRUE	left
84	85	trial	1	4	0	no	p35_control	right	p35_control_right	control	1	481	168	TRUE	assess	TRUE	left
88	89	trial	1	5	1	yes	a23_control	left	a23_control_left	control	1	615	168	TRUE	assess	TRUE	left
92	93	trial	1	6	0	no	a66_control	right	a66_control_right	control	1	414	168	TRUE	assess	TRUE	left
96	97	trial	1	7	1	no	p15_control	right	p15_control_right	control	1	549	168	TRUE	assess	TRUE	left
100	101	trial	1	8	0	yes	p54_test	left	p54_test_left	test	1	861	168	TRUE	assess	TRUE	left
104	105	trial	1	9	0	no	p15_test	right	p15_test_right	test	1	405	168	TRUE	assess	TRUE	left
108	109	trial	1	10	1	yes	p22_control	left	p22_control_left	control	1	348	168	TRUE	assess	TRUE	left
112	113	trial	1	11	0	no	p22_test	right	p22_test_right	test	1	355	168	TRUE	assess	TRUE	left
116	117	trial	1	12	0	no	p22_control	right	p22_control_right	control	1	420	168	TRUE	assess	TRUE	left
120	121	trial	1	13	1	no	p15_test	right	p15_test_right	test	1	441	168	TRUE	assess	TRUE	left
124	125	trial	1	14	1	no	p54_control	right	p54_control_right	control	2	465	168	FALSE	assess	TRUE	left
129	130	trial	1	15	1	yes	p35_test	left	p35_test_left	test	1	1039	168	TRUE	assess	TRUE	left
133	134	trial	1	16	1	no	p35_control	right	p35_control_right	control	1	577	168	TRUE	assess	TRUE	left
137	138	trial	1	17	1	no	a12_test	right	a12_test_right	test	1	643	168	TRUE	assess	TRUE	left
141	142	trial	1	18	1	yes	a40_control	left	a40_control_left	control	1	588	168	TRUE	assess	TRUE	left
145	146	trial	1	19	0	yes	p15_test	left	p15_test_left	test	1	919	168	TRUE	assess	TRUE	left
149	150	trial	1	20	1	no	p54_test	right	p54_test_right	test	1	547	168	TRUE	assess	TRUE	left
153	154	trial	1	21	1	no	a23_control	right	a23_control_right	control	1	535	168	TRUE	assess	TRUE	left
157	158	trial	1	22	1	yes	a12_test	left	a12_test_left	test	1	623	168	TRUE	assess	TRUE	left
161	162	trial	1	23	1	yes	a40_test	left	a40_test_left	test	1	668	168	TRUE	assess	TRUE	left
