from_seq	to_seq	event	block	trial	patt	reps	phor	stim	keep	thor	image	pdir	response	rt	set_id	type	placebo
12	13	trial	0	0	no	0	left	practice	no	right	practice_right	up	1	1768	167	practice	TRUE
15	16	trial	0	1	yes	0	left	practice	yes	left	practice_left	down	1	1354	167	practice	TRUE
18	19	trial	0	2	no	0	right	practice	yes	left	practice_left	down	1	978	167	practice	TRUE
21	22	trial	0	3	yes	0	left	practice	no	left	practice_left	up	1	568	167	practice	TRUE
24	25	trial	0	4	no	0	right	practice	no	left	practice_left	down	2	2036	167	practice	TRUE
28	29	trial	0	5	yes	0	right	practice	yes	right	practice_right	up	1	893	167	practice	TRUE
31	32	trial	0	6	no	0	left	practice	yes	right	practice_right	down	1	965	167	practice	TRUE
34	35	trial	0	7	yes	0	right	practice	no	right	practice_right	up	1	563	167	practice	TRUE
41	42	trial	1	0	yes	0	left	a41	no	left	a41_left	down	1	1062	167	assess	TRUE
44	45	trial	1	1	no	0	left	p9	yes	right	p9_right	down	1	952	167	assess	TRUE
47	48	trial	1	2	no	0	right	a41	yes	left	a41_left	down	1	616	167	assess	TRUE
50	51	trial	1	3	yes	1	left	a41	no	left	a41_left	down	1	739	167	assess	TRUE
53	54	trial	1	4	yes	1	right	a41	yes	right	a41_right	up	1	513	167	assess	TRUE
56	57	trial	1	5	no	0	left	p61	yes	right	p61_right	up	1	600	167	assess	TRUE
59	60	trial	1	6	yes	1	left	p9	no	left	p9_left	down	2	853	167	assess	TRUE
63	64	trial	1	7	yes	1	left	p24	yes	left	p24_left	down	1	757	167	assess	TRUE
66	67	trial	1	8	no	0	right	a29	yes	left	a29_left	down	1	636	167	assess	TRUE
69	70	trial	1	9	yes	0	left	p72	no	left	p72_left	down	1	594	167	assess	TRUE
72	73	trial	1	10	no	1	right	p72	yes	left	p72_left	up	1	474	167	assess	TRUE
75	76	trial	1	11	no	1	left	p24	no	right	p24_right	up	2	536	167	assess	TRUE
79	80	trial	1	12	no	0	left	p72	yes	right	p72_right	down	1	786	167	assess	TRUE
82	83	trial	1	13	yes	0	left	a20	yes	left	a20_left	down	1	644	167	assess	TRUE
85	86	trial	1	14	yes	0	right	p24	yes	right	p24_right	up	1	630	167	assess	TRUE
88	89	trial	1	15	yes	1	right	a41	no	right	a41_right	down	1	665	167	assess	TRUE
91	92	trial	1	16	yes	0	right	a20	no	right	a20_right	up	1	433	167	assess	TRUE
94	95	trial	1	17	yes	1	right	a20	yes	right	a20_right	up	2	349	167	assess	TRUE
98	99	trial	1	18	yes	0	right	p9	yes	right	p9_right	down	1	710	167	assess	TRUE
101	102	trial	1	19	no	1	right	a42	yes	left	a42_left	down	1	607	167	assess	TRUE
104	105	trial	1	20	no	1	left	p72	yes	right	p72_right	down	1	564	167	assess	TRUE
107	108	trial	1	21	yes	1	right	a42	yes	right	a42_right	up	1	352	167	assess	TRUE
110	111	trial	1	22	no	0	left	p61	no	right	p61_right	up	1	598	167	assess	TRUE
113	114	trial	1	23	no	1	right	p24	no	left	p24_left	down	1	484	167	assess	TRUE
116	117	trial	1	24	yes	0	right	p72	no	right	p72_right	down	1	641	167	assess	TRUE
119	120	trial	1	25	yes	1	left	p72	no	left	p72_left	down	1	591	167	assess	TRUE
122	123	trial	1	26	no	0	left	a29	no	right	a29_right	up	1	570	167	assess	TRUE
125	126	trial	1	27	no	1	right	p61	no	left	p61_left	down	1	534	167	assess	TRUE
128	129	trial	1	28	no	1	right	p9	no	left	p9_left	down	1	527	167	assess	TRUE
131	132	trial	1	29	yes	1	right	p72	no	right	p72_right	up	1	599	167	assess	TRUE
134	135	trial	1	30	no	0	left	a42	yes	right	a42_right	up	1	587	167	assess	TRUE
137	138	trial	1	31	yes	0	right	a42	yes	right	a42_right	up	1	503	167	assess	TRUE
140	141	trial	1	32	yes	1	right	a20	no	right	a20_right	up	1	498	167	assess	TRUE
143	144	trial	1	33	no	0	right	a41	no	left	a41_left	up	1	520	167	assess	TRUE
146	147	trial	1	34	yes	0	right	p61	yes	right	p61_right	up	1	531	167	assess	TRUE
149	150	trial	1	35	yes	0	left	a20	no	left	a20_left	down	1	490	167	assess	TRUE
152	153	trial	1	36	yes	0	right	a42	no	right	a42_right	up	1	475	167	assess	TRUE
155	156	trial	1	37	yes	0	right	a41	yes	right	a41_right	up	1	339	167	assess	TRUE
158	159	trial	1	38	no	1	right	a20	yes	left	a20_left	down	1	409	167	assess	TRUE
161	162	trial	1	39	yes	1	left	a20	yes	left	a20_left	up	1	459	167	assess	TRUE
164	165	trial	1	40	yes	0	left	p24	no	left	p24_left	down	1	506	167	assess	TRUE
167	168	trial	1	41	yes	0	left	a41	yes	left	a41_left	down	1	594	167	assess	TRUE
170	171	trial	1	42	yes	0	right	p9	no	right	p9_right	up	1	562	167	assess	TRUE
173	174	trial	1	43	yes	0	right	p61	no	right	p61_right	up	1	503	167	assess	TRUE
176	177	trial	1	44	yes	0	left	a42	yes	left	a42_left	up	1	581	167	assess	TRUE
179	180	trial	1	45	no	1	left	p24	yes	right	p24_right	up	1	425	167	assess	TRUE
182	183	trial	1	46	no	1	left	a41	no	right	a41_right	up	1	582	167	assess	TRUE
185	186	trial	1	47	no	1	left	a20	yes	right	a20_right	down	1	374	167	assess	TRUE
188	189	trial	1	48	no	0	right	p24	yes	left	p24_left	down	1	542	167	assess	TRUE
191	192	trial	1	49	yes	1	right	p9	yes	right	p9_right	up	1	526	167	assess	TRUE
194	195	trial	1	50	yes	1	right	p9	no	right	p9_right	down	1	517	167	assess	TRUE
197	198	trial	1	51	yes	1	left	a29	yes	left	a29_left	up	1	418	167	assess	TRUE
200	201	trial	1	52	yes	1	right	p24	yes	right	p24_right	up	1	450	167	assess	TRUE
203	204	trial	1	53	no	1	right	p72	no	left	p72_left	up	1	490	167	assess	TRUE
206	207	trial	1	54	no	0	right	a20	yes	left	a20_left	up	2	330	167	assess	TRUE
210	211	trial	1	55	yes	0	left	a29	yes	left	a29_left	down	1	593	167	assess	TRUE
213	214	trial	1	56	yes	0	right	a41	no	right	a41_right	up	1	654	167	assess	TRUE
216	217	trial	1	57	no	0	left	p24	yes	right	p24_right	down	1	406	167	assess	TRUE
219	220	trial	1	58	no	1	left	a29	no	right	a29_right	up	1	587	167	assess	TRUE
222	223	trial	1	59	yes	0	left	p72	yes	left	p72_left	up	1	417	167	assess	TRUE
225	226	trial	1	60	no	1	left	a42	yes	right	a42_right	up	1	448	167	assess	TRUE
228	229	trial	1	61	no	1	left	a20	no	right	a20_right	down	1	675	167	assess	TRUE
231	232	trial	1	62	no	1	right	p61	yes	left	p61_left	down	1	490	167	assess	TRUE
234	235	trial	1	63	no	1	right	a41	no	left	a41_left	up	1	540	167	assess	TRUE
241	242	trial	2	0	no	1	left	a41	yes	right	a41_right	up	1	474	167	assess	TRUE
244	245	trial	2	1	yes	1	left	p72	yes	left	p72_left	down	1	537	167	assess	TRUE
247	248	trial	2	2	yes	0	right	a20	yes	right	a20_right	up	1	444	167	assess	TRUE
250	251	trial	2	3	no	1	right	a41	yes	left	a41_left	down	1	397	167	assess	TRUE
253	254	trial	2	4	yes	1	left	a41	yes	left	a41_left	down	1	662	167	assess	TRUE
256	257	trial	2	5	yes	1	right	p24	no	right	p24_right	up	1	423	167	assess	TRUE
259	260	trial	2	6	no	0	right	a20	no	left	a20_left	up	1	534	167	assess	TRUE
262	263	trial	2	7	yes	1	left	p9	yes	left	p9_left	down	1	343	167	assess	TRUE
265	266	trial	2	8	no	1	left	p61	yes	right	p61_right	up	1	536	167	assess	TRUE
268	269	trial	2	9	no	0	right	p9	yes	left	p9_left	down	1	303	167	assess	TRUE
271	272	trial	2	10	yes	0	left	p9	no	left	p9_left	down	1	545	167	assess	TRUE
274	275	trial	2	11	no	1	right	a20	no	left	a20_left	down	1	565	167	assess	TRUE
277	278	trial	2	12	no	1	left	a42	no	right	a42_right	up	1	582	167	assess	TRUE
280	281	trial	2	13	yes	0	right	a29	yes	right	a29_right	up	1	530	167	assess	TRUE
283	284	trial	2	14	no	1	right	p9	yes	left	p9_left	down	1	535	167	assess	TRUE
286	287	trial	2	15	no	0	left	a41	no	right	a41_right	up	1	478	167	assess	TRUE
289	290	trial	2	16	yes	0	left	p9	yes	left	p9_left	down	1	686	167	assess	TRUE
292	293	trial	2	17	no	0	left	a42	no	right	a42_right	up	1	627	167	assess	TRUE
295	296	trial	2	18	no	1	left	p61	no	right	p61_right	down	1	518	167	assess	TRUE
298	299	trial	2	19	no	0	right	p61	no	left	p61_left	down	1	489	167	assess	TRUE
301	302	trial	2	20	no	0	right	a29	no	left	a29_left	up	1	602	167	assess	TRUE
304	305	trial	2	21	no	1	right	p24	yes	left	p24_left	down	1	467	167	assess	TRUE
307	308	trial	2	22	no	1	right	a42	no	left	a42_left	down	1	490	167	assess	TRUE
310	311	trial	2	23	yes	0	right	p72	yes	right	p72_right	up	1	366	167	assess	TRUE
313	314	trial	2	24	yes	0	left	p24	yes	left	p24_left	up	2	392	167	assess	TRUE
317	318	trial	2	25	no	0	right	a42	yes	left	a42_left	up	1	500	167	assess	TRUE
320	321	trial	2	26	no	1	left	p72	no	right	p72_right	down	1	556	167	assess	TRUE
323	324	trial	2	27	no	0	left	p24	no	right	p24_right	down	1	563	167	assess	TRUE
